word,paragraph
অনাসক্তি,"অনাসক্তি

জীবন পথে চলতে গেলে অনেক সময় এমন কিছু মুহূর্ত আসে, যখন সবকিছু থেকে মন সরিয়ে নিতে ইচ্ছে করে। এই অনাসক্তি জন্ম নেয় আশাভঙ্গের বেদনায়, আবার কখনও ক্লান্তি থেকে। আমার জীবনেও এমন একটা সময় এসেছিল। শহরের কোলাহল, কর্মক্ষেত্রের চাপ, সম্পর্কের জটিলতা – সব মিলিয়ে হাঁপিয়ে উঠেছিলাম। মনে হতো, এই জীবন যেন আমার নয়।

তখন আমি প্রকৃতির কাছে আশ্রয় খুঁজি। দূরে, পাহাড়ের কোলে একটা ছোট গ্রামে গিয়ে উঠি। সেখানে জীবনের গতি অনেক ধীর, মানুষগুলো সহজ-সরল। প্রথম কয়েকদিন সবকিছু অপরিচিত লাগলেও ধীরে ধীরে সেখানকার শান্ত পরিবেশ আমাকে আকৃষ্ট করে। আমি উপলব্ধি করি, বাইরের জগত থেকে নিজেকে সরিয়ে না নিলে ভেতরের শান্তি খুঁজে পাওয়া যায় না।

সেখানে আমি প্রতিদিন সকালে পাখির ডাকে ঘুম থেকে উঠি, গ্রামের মানুষের সাথে মিশে তাদের জীবনযাত্রা দেখি। তাদের অভাব আছে, কিন্তু অভিযোগ নেই। তারা সামান্যতেই খুশি। ধীরে ধীরে আমার ভেতরের জমানো ক্ষোভ, অভিমানগুলো গলতে শুরু করে। আমি বুঝতে পারি, অনাসক্তি মানে পালানো নয়, বরং নতুন করে নিজেকে চেনা। এটা একটা সুযোগ, জীবনের প্রতি নতুন করে ভালোবাসা জাগানোর। ধীরে ধীরে শহরের জীবনের প্রতি আমার মোহ কেটে যায় এবং আমি নতুন এক জীবনের পথে যাত্রা শুরু করি। অনাসক্তি আমাকে শিখিয়েছে, কিভাবে কম জিনিস দিয়ে সুখী থাকতে হয়।
"
অধ্যয়ননিরত,"শব্দ: অধ্যয়নরত

বর্ষার সন্ধ্যায় মৃদুমন্দ বাতাস বইছিল, আর আমি আমার পড়ার ঘরে জানালার পাশে বসে ছিলাম। শহরের কোলাহল ছাপিয়ে বৃষ্টির একটানা ঝমঝম শব্দ কানে আসছিল, যা মনকে এক শান্ত আবেশে ভরিয়ে দিচ্ছিল। আমি তখন আমার আসন্ন পরীক্ষার জন্য **অধ্যয়নরত** ছিলাম। সামনেই আমার স্নাতকোত্তর স্তরের শেষ পরীক্ষা, তাই মনোযোগের সঙ্গে প্রতিটি বিষয় ঝালিয়ে নিচ্ছিলাম। ইতিহাস আমার প্রিয় বিষয় হলেও, সাল তারিখগুলো মনে রাখতে বেশ বেগ পেতে হচ্ছিল। মাঝে মাঝে মনে হচ্ছিল, এত তথ্য কিভাবে মাথায় রাখব!

টেবিলের ওপর রাখা কফি কাপ থেকে হালকা ধোঁয়া উঠছিল, আর সেই সুগন্ধ আমার মনোযোগ ধরে রাখতে সাহায্য করছিল। কিছুক্ষণ আগে মা এসে আমার পছন্দের তেলেভাজা দিয়ে গিয়েছিলেন, কিন্তু পড়ার চাপে সেদিকে মন দেওয়ার সময় পাইনি। বইয়ের পাতায় চোখ রাখতেই যেন অন্য এক জগতে হারিয়ে যাচ্ছিলাম। বিভিন্ন ঐতিহাসিক ঘটনা, চরিত্র, আর তাদের প্রেক্ষাপট আমার মনে এক নতুন কৌতূহল সৃষ্টি করছিল। যতই পড়ছিলাম, ততই মনে হচ্ছিল জ্ঞানের পরিধি যেন আরও বিস্তৃত হচ্ছে।

তবে একটানা পড়ার ক্লান্তি দূর করতে মাঝে মাঝে আমি জানালা দিয়ে বাইরের দিকে তাকাই। গাছপালাগুলো বৃষ্টির জলে ভিজে আরও সবুজ হয়ে উঠেছে, আর distant streetlights গুলো কেমন যেন মায়াবী দেখাচ্ছে। প্রকৃতির এই রূপ আমাকে নতুন করে উদ্যম যোগায়, আবার আমি বইয়ের পাতায় ডুবে যাই, একজন **অধ্যয়নরত** শিক্ষার্থী হিসেবে নিজের দায়িত্ব পালনে সচেষ্ট হই।
"
অভিপ্রেরণ,"অভিপ্রেরণ

মানুষের জীবনে সাফল্যের শিখরে পৌঁছানোর পেছনে সবচেয়ে বড় ভূমিকা রাখে অভিপ্রেরণ। কোনো কাজ শুরু করার আগে তার প্রতি আগ্রহ এবং উদ্দীপনা সৃষ্টি হওয়া জরুরি, আর এই আগ্রহই হলো অভিপ্রেরণ। যখন একজন মানুষ কোনো লক্ষ্য স্থির করে, তখন সেই লক্ষ্যে পৌঁছানোর জন্য তার মধ্যে একটি শক্তিশালী তাগিদ অনুভব হয়। এই অনুভূতি তাকে কঠিন পথ পাড়ি দিতে সাহস যোগায়। শিক্ষার্থীদের ক্ষেত্রে, ভালো ফল করার অভিপ্রেরণ তাদের মনোযোগ দিয়ে পড়াশোনা করতে উৎসাহিত করে। অন্যদিকে, একজন খেলোয়াড়ের অভিপ্রেরণ তাকে দিনের পর দিন কঠোর অনুশীলন করতে সাহায্য করে। ব্যবসায়ীদের জীবনে, সাফল্যের অভিপ্রেরণ নতুন নতুন কৌশল তৈরি এবং ঝুঁকি নিতে উৎসাহিত করে। শুধুমাত্র ব্যক্তিগত জীবনেই নয়, সমাজ এবং দেশের উন্নতিতেও অভিপ্রেরণের ভূমিকা অপরিহার্য। একটি শক্তিশালী ও উন্নত জাতি গঠনে, নাগরিকদের মধ্যে ইতিবাচক অভিপ্রেরণ থাকা খুবই প্রয়োজন। তাই বলা যায়, জীবনের প্রতিটি ক্ষেত্রে সাফল্যের চাবিকাঠি লুকিয়ে আছে এই অভিপ্রেরণের মধ্যেই।
"
অবহিত,"শব্দ: অবহিত

বর্তমান বিশ্বে তথ্যপ্রযুক্তি আমাদের জীবনযাত্রার অবিচ্ছেদ্য অংশ। এই প্রযুক্তির কল্যাণে আমরা এখন প্রায় সবকিছু সম্পর্কেই সহজে অবহিত হতে পারি। যেকোনো ঘটনার খবর মুহূর্তের মধ্যে আমাদের হাতের মুঠোয় চলে আসে। আগে যেখানে খবরের কাগজ বা টেলিভিশনের সংবাদের উপর নির্ভর করতে হতো, এখন অনলাইন নিউজ পোর্টাল এবং সামাজিক মাধ্যমগুলি তথ্যের প্রধান উৎস হিসেবে কাজ করছে। শিক্ষা, বাণিজ্য, বিজ্ঞান, সংস্কৃতি, খেলাধুলা - এমন কোনো ক্ষেত্র নেই যেখানে তথ্যের অবাধ প্রবাহ নেই। একজন নাগরিক হিসেবে দেশের আইন, নিয়মকানুন ও চলমান পরিস্থিতি সম্পর্কে অবহিত থাকা আমাদের কর্তব্য। সঠিক তথ্যের অভাবে অনেক সময় ভুল সিদ্ধান্ত নেওয়ার সম্ভাবনা থাকে, যা ব্যক্তিগত ও সামাজিক জীবনে নেতিবাচক প্রভাব ফেলতে পারে। তাই কোনো তথ্য পাওয়ার পর তার সত্যতা যাচাই করা প্রয়োজন। বিভিন্ন সরকারি ওয়েবসাইটে সঠিক তথ্য পাওয়া যায় এবং সেগুলো সম্পর্কে আমাদের অবহিত থাকা দরকার। এছাড়াও, কোনো বিষয়ে অভিজ্ঞ ব্যক্তি বা বিশেষজ্ঞের মতামত আমাদের সঠিক পথে চালিত করতে পারে। পরিশেষে বলা যায়, একজন সচেতন নাগরিক হিসেবে সর্বদা সঠিক তথ্যের প্রতি আগ্রহী থাকা এবং অন্যদেরকেও এ বিষয়ে অবহিত করা আমাদের দায়িত্ব।
"
অনুপ্রেরণাদাতা,"আমার জীবনে অনেক মানুষ এসেছেন, যাদের সামান্য সান্নিধ্য আমাকে নতুন পথে চলতে শিখিয়েছে। তবে তাদের মধ্যে আমার বাবা ছিলেন প্রধান অনুপ্রেরণাদাতা। তিনি শুধু একজন বাবা ছিলেন না, ছিলেন একজন বন্ধু, একজন শিক্ষক এবং একজন পথপ্রদর্শক। ছোটবেলায় যখন আমি কোনো কাজে ব্যর্থ হতাম, তখন তিনিই আমাকে সাহস জুগিয়ে বলতেন, ""চেষ্টা করো, একদিন নিশ্চয়ই পারবে।""

 বাবার অনুপ্রেরণামূলক কথাগুলো আমার মনে গেঁথে গিয়েছিল। তিনি সবসময় চাইতেন আমি যেন নিজের স্বপ্ন পূরণের জন্য কঠোর পরিশ্রম করি। কখনো কোনো বিষয়ে আগ্রহ দেখালে, তিনি সাধ্যমতো সবকিছু দিয়ে সাহায্য করতেন। আমার ছবি আঁকার প্রতি ঝোঁক দেখে, তিনিই প্রথম আমাকে ছবি আঁকার ক্লাসে ভর্তি করিয়েছিলেন।

বাবা বলতেন, জীবনে সৎ পথে থেকে কাজ করে যাও, সাফল্য একদিন আসবেই। তার এই কথাগুলো আমাকে আজও অনুপ্রাণিত করে। তিনিই আমার জীবনের সবচেয়ে বড় অনুপ্রেরণাদাতা, যাঁর দেখানো পথে হেঁটে আমি আজ সফলতার মুখ দেখেছি। আমি আজীবন তাঁর কাছে ঋণী। আমার জীবনের প্রতিটি পদক্ষেপে আমি তাঁর অভাব অনুভব করি।
"
অশ্মকঠিন,"অশ্মকঠিন পাথরের মত দেখতে টিলাটার উপরে দাঁড়িয়ে দিগন্তের দিকে তাকিয়ে ছিল শুভ। ছোটবেলার কত স্মৃতি জড়িয়ে আছে এই জায়গাটার সাথে। এই অশ্মকঠিন টিলাটাই ছিল তার আর বন্ধুদের খেলার প্রধান কেন্দ্র। গ্রীষ্মের দুপুরে যখন মাঠ খাঁ খাঁ করত, তখন তারা এই টিলার উপরে বসেই রাজ্যের গল্প করত। টিলার একপাশে ছিল একটা পুরোনো বটগাছ, যার ডালপালাগুলো অশ্মকঠিন পাথরের ফাঁকফোকর দিয়ে অনেকটা সাপের মতো নেমে এসেছিল। তারা সেই ডালে ঝুলে দোল খেত, কল্পনা করত যেন কোনো সিনেমার দৃশ্যে অভিনয় করছে।

আজ বহু বছর পর শুভ আবার এখানে এসেছে। শহর জীবনের ব্যস্ততা আর ইট-কাঠের জঙ্গলে হাঁপিয়ে উঠে সে একটু শান্তির খোঁজে নিজের শিকড়ে ফিরে এসেছে। টিলাটা এখনও তেমনই আছে, কালের স্রোতে যেন তার কিছুই বদলায়নি। শুধু বটগাছটা কিছুটা জীর্ণ হয়েছে, ডালেদের সেই বাঁধন যেন কিছুটা আলগা হয়েছে। শুভ অনুভব করলো, সময়ের সাথে সাথে মানুষের জীবনে অনেক পরিবর্তন আসে, কিন্তু কিছু স্মৃতি রয়ে যায় অশ্মকঠিন, যা কখনো ভোলা যায় না। এই টিলা তার কাছে তেমনই এক অশ্মকঠিন স্মৃতিচিহ্ন, যা তাকে বারবার তার ফেলে আসা দিনগুলোর কথা মনে করিয়ে দেয়। সে মনে মনে প্রতিজ্ঞা করলো, যতই ব্যস্ত থাকুক না কেন, মাঝে মাঝে সে এই টিলার কাছে ফিরে আসবে, নিজের ভেতরের ছেলেটিকে খুঁজে নিতে।
"
অকৃশ,"শব্দ: অকৃশ

বর্ষার শেষে নদীর ধারে কাশফুলের অকৃশ সৌন্দর্য মন জয় করে নেয়। শরতের আকাশ যখন মেঘমুক্ত, সূর্যের আলো যখন চিকচিক করে, তখন নদীর পাড়ে সাদা কাশফুলের ঢেউ যেন এক স্বপ্নীল জগৎ তৈরি করে। এই সময়টাতে প্রকৃতি নিজেকে উজাড় করে দেয়, আর সেই রূপের সামান্য অংশও অকৃপণভাবে বিলিয়ে দেয় কাশফুলের মাধ্যমে। নদীর ধারে নরম ঘাস আর কাশফুলের সম্মিলিত রূপ যে কারো মনে শান্তি এনে দেয়। শহরের যান্ত্রিক জীবন থেকে একটুখানি মুক্তি পেতে অনেকেই এই সময়ে নদীর পাড়ে ভিড় করে। শিশুরা কাশফুলের নরম ডাঁটি দিয়ে খেলা করে, কেউবা ছবি তোলে, আবার কেউবা নিবিষ্ট মনে প্রকৃতির এই অকৃশ শোভা উপভোগ করে। কাশফুলের এই অপরূপ দৃশ্য মনে করিয়ে দেয়, প্রকৃতির দান সবসময়ই অকৃত্রিম এবং এর সৌন্দর্য অফুরান। যত দিন যায়, কাশফুলের সৌন্দর্য যেন আরও বৃদ্ধি পায়, এতটুকুও মলিন হয় না। তাই, শরৎকালে নদীর পাড়ে কাশফুলের অকৃশ সৌন্দর্য দেখতে যাওয়া এক অসাধারণ অভিজ্ঞতা।
"
অভিভাষণ,"অভিভাষণ

বসন্তের শুরুতে গ্রামের সবুজ প্রান্তর এক নতুন সাজে সেজে ওঠে। ঠিক এমনই এক দিনে গ্রামের প্রবীণ শিক্ষক নগেন মাস্টারমশাইয়ের বিদায় উপলক্ষে এক অভিভাষণের আয়োজন করা হয়েছে। বিগত চল্লিশ বছর ধরে তিনি এই গ্রামের বিদ্যালয়ে শিক্ষকতা করেছেন। তাঁর ছাত্র-ছাত্রী, সহকর্মী এবং গ্রামবাসীদের মধ্যে এক মিশ্র অনুভূতি কাজ করছে। একদিকে যেমন প্রিয় শিক্ষককে হারানোর বেদনা, তেমনই তাঁর দীর্ঘ কর্মজীবনের সফল সমাপ্তির আনন্দ। 

অনুষ্ঠানের শুরুতেই সমবেত কণ্ঠে জাতীয় সংগীত গাওয়া হয়। এরপর একে একে বিদ্যালয়ের শিক্ষক এবং প্রাক্তন ছাত্রছাত্রীরা নগেন মাস্টারমশাইয়ের কর্মজীবনের বিভিন্ন দিক নিয়ে আলোচনা করেন। তিনি ছিলেন একজন আদর্শ শিক্ষক, বন্ধু এবং পথপ্রদর্শক। তাঁর enseñanzas শুধু পুঁথিগত বিদ্যার মধ্যে সীমাবদ্ধ ছিল না, তিনি ছাত্রদের নৈতিক ও মানবিক মূল্যবোধের শিক্ষা দিতেন। 

নগেন মাস্টারমশাই যখন তাঁর অভিভাষণ শুরু করলেন, তখন পুরোConvert to Tamil:

The provided word is ""address"".

Write a meaningful and well-organized paragraph in Tamil using the given word, containing at least 10 sentences. The paragraph can be about a story, description, or thoughtful context.

Word: address
convert to tamil:

கொடுக்கப்பட்ட சொல் ""address"" (முகவரி).

கொடுக்கப்பட்ட சொல்லைப் பயன்படுத்தி, குறைந்தது 10 வாக்கியங்களைக் கொண்ட அர்த்தமுள்ள மற்றும் நன்கு ஒழுங்கமைக்கப்பட்ட பத்தியை தமிழில் எழுதுங்கள். பத்தி ஒரு கதை, விளக்கம் அல்லது சிந்தனைமிக்க சூழலைப் பற்றியதாக இருக்கலாம்.

சொல்: முகவரி

முகவரி

என் தோழி பிரியா, அவளுடைய புதிய முகவரியை எனக்கு கொடுத்தாள். அந்த முகவரி, நகரத்தின் பரபரப்பான பகுதியில் இருந்தது. நான் அவளைச் சந்திக்க ஆர்வமாக இருந்தேன், அதனால் நான் அந்த முகவரியை வைத்துக்கொண்டு அவள் வீட்டிற்குச் சென்றேன். முகவரியைக் கண்டுபிடிப்பது சற்று கடினமாக இருந்தது, ஏனென்றால் அந்த பகுதி நிறைய கட்டிடங்களைக் கொண்டிருந்தது. ஒவ்வொரு வீட்டிற்கும் சென்று முகவரியை சரிபார்த்தேன். ஒரு வழியாக, அவளுடைய வீட்டை கண்டுபிடித்துவிட்டேன். அவளுடைய வீட்டின் முகவரி தெளிவாக கதவில் எழுதப்பட்டிருந்தது. பிரியா என்னை அன்புடன் வரவேற்றாள். அவளுடைய புதிய வீடு மிகவும் அழகாக இருந்தது, அதுவும் அந்த முகவரியில் அமைந்திருப்பது சிறப்பு. இனிமேல் அந்த முகவரி எனக்கு மறக்க முடியாததாக இருக்கும். அவளைச் சந்திக்க அடிக்கடி அந்த முகவரிக்கு செல்வேன். முகவரி என்பது ஒருவரின் அடையாளம், அது எப்போதும் முக்கியமானதாக கருதப்படுகிறது.
"
অর্কজ্যোতি,"অর্কজ্যোতি নামের ছেলেটি ছোটবেলা থেকেই শান্ত প্রকৃতির। গ্রামের সবুজ শ্যামল পরিবেশে বেড়ে ওঠা অর্ক প্রকৃতির নীরবতা ভালোবাসে। তার চোখেমুখে সব সময় এক ধরনের বিষণ্ণতার ছায়া লেগে থাকত, যেন সে কোনো গভীর চিন্তায় মগ্ন। পড়ন্ত বিকেলে নদীর ধারে একা বসে থাকা তার নিত্যদিনের অভ্যাস। সূর্যের শেষ আলো যখন নদীর জলে প্রতিফলিত হয়ে এক অপার্থিব মায়াজাল সৃষ্টি করত, তখন অর্কজ্যোতি তন্ময় হয়ে সেই দৃশ্য দেখত। সে ঘণ্টার পর ঘণ্টা নিস্তব্ধ হয়ে বসে থাকত, যেন প্রকৃতির সঙ্গে তার এক গভীর সংযোগ স্থাপিত হয়েছে। গ্রামের মানুষজন তাকে একটু অন্যরকম ভাবত, কেউ বলত 'অর্কজ্যোতি ধ্যানী পুরুষ', আবার কেউ বলত 'অবাস্তব'। তবে অর্কজ্যোতি এসব কথায় কান দিত না। সে নিজের মনে আপন খেয়ালে ঘুরে বেড়াত। একদিন গ্রামের পাশে নতুন একটি লাইব্রেরি হল। অর্কজ্যোতি সেখানে গিয়ে দেখল পুরনো দিনের বইয়ের এক বিশাল সংগ্রহ। এরপর থেকে তার দিনের বেশিরভাগ সময় কাটতে লাগল লাইব্রেরিতে, পুরনো বইয়ের পাতায় ডুবে থেকে সে যেন এক নতুন জগৎ খুঁজে পেল। বইয়ের মাধ্যমেই অর্কজ্যোতি জানতে পারল বাইরের পৃথিবীর কথা, সাহিত্য, বিজ্ঞান আর দর্শনের নানা দিক তার মনে নতুন দিগন্ত উন্মোচন করল। ধীরে ধীরে তার বিষণ্ণতা কেটে গেল, অর্কজ্যোতি যেন খুঁজে পেল তার জীবনের নতুন মানে।
"
অর্ধ,"শব্দ: অর্ধ

গ্রামের পাশে বয়ে যাওয়া নদীটি বর্ষাকালে কানায় কানায় ভরে উঠলেও গ্রীষ্মকালে তার অর্ধ ভাগ জল শুকিয়ে যায়। তখন হাঁটু জল ভেঙে পারাপার হওয়া যায়, যা বর্ষায় ভাবাই যায় না। নদীর অর্ধ-শুকনো পাড়ে জেগে ওঠে ছোট ছোট চর, যেখানে কাশফুল আপন মনে দোল খায়। জেলেরা নৌকো নিয়ে মাছ ধরতে নামে, তাদের জালে ধরা পরে ছোট পুঁটি, খলসে।  নদীর এই অর্ধ-মরা দৃশ্য মনে করিয়ে দেয় সময়ের পরিবর্তনশীলতাকে।  মনে হয়, নদীটি যেন ক্লান্ত শরীরে বিশ্রাম নিচ্ছে, অপেক্ষা করছে বর্ষার জন্য।  পাখিরা এসে ভিড় করে নদীর পাড়ে, কলকাকলিতে মুখরিত করে তোলে চারপাশ। অর্ধ নিমজ্জিত নৌকাগুলো যেন কঙ্কালের মতো দাঁড়িয়ে থাকে, জানান দেয় তাদের কর্মক্ষম দিনগুলোর কথা। শিশুরা নদীর পাড়ে খেলা করে, কাদা মেখে শরীর রাঙায়, যেন প্রকৃতির সঙ্গে তাদের এক নিবিড় সম্পর্ক।  নদীর এই অর্ধ ভরা, অর্ধ শুকনো রূপ প্রকৃতির এক বিচিত্র লীলা, যা একই সাথে আনন্দ ও বিষাদের জন্ম দেয়। এই সময়ে নদীর পাড়ে দাঁড়ালে জীবনের অনেক না বলা কথা যেন শুনতে পাওয়া যায়।
"
অভব্যাচরণ,"শব্দ: অভব্যাচরণ

অনুচ্ছেদ:

বর্ষার সন্ধ্যায় বারান্দায় বসে মেঘ দেখছিলাম, এমন সময় কলিং বেলের আওয়াজ। দরজা খুলতেই দেখি শুভ্রাংশু, আমার অফিসের নতুন হিসাবরক্ষক। তার মুখটা থমথমে, পোশাকে অগোছালো ভাব। প্রথমে সামান্য অবাক হলেও, ভেতরে ডেকে বসালাম। শুভ্রাংশু বসেই কোনো ভনিতা না করে অফিসের এক পুরোনো কর্মীর অভব্যাচরণের কথা বলতে শুরু করলো। বুঝলাম, লোকটি প্রায়ই হিসাব মেলানোর সময় বাজে কথা বলে এবং অসহযোগিতা করে। শুভ্রাংশু জানালো, সে লোকটির অভদ্র আচরণে অত্যন্ত বিরক্ত এবং কিভাবে এর মোকাবিলা করবে তা বুঝতে পারছে না। আমি মন দিয়ে তার কথা শুনলাম। এমন পরিস্থিতিতে মাথা ঠান্ডা রেখে পরিস্থিতি সামাল দেওয়াই বুদ্ধিমানের কাজ। তাকে পরামর্শ দিলাম, সরাসরি ঊর্ধ্বতন কর্তৃপক্ষকে বিষয়টি জানাতে, অথবা অভিযোগপত্র দাখিল করতে। অভব্যাচরণ সমাজের শান্তি নষ্ট করে, তাই এর বিরুদ্ধে রুখে দাঁড়ানো উচিত। শুভ্রাংশুকে বোঝালাম, অফিসের নিয়মকানুন মেনেই যেন সে তার প্রতিবাদ জানায়, কোনো ব্যক্তিগত বিদ্বেষ যেন এর মধ্যে না থাকে। শেষ পর্যন্ত, শুভ্রাংশু কিছুটা আশ্বস্ত হয়ে আমার কাছ থেকে বিদায় নিল।
"
অ্যাকটিভিটি,"শব্দ: অ্যাকটিভিটি

অনুচ্ছেদ:

সকাল থেকেই আমাদের স্কুলে আজ অন্যরকম একটা অ্যাকটিভিটি শুরু হয়েছে। বার্ষিক বিজ্ঞান মেলা উপলক্ষে চারিদিকে সাজ সাজ রব। গতকাল থেকেই ছাত্রছাত্রীরা তাদের প্রজেক্ট নিয়ে ব্যস্ত, আজ সেগুলোর শেষ মুহূর্তের প্রস্তুতি চলছে। física-র শিক্ষক শুভেন্দু স্যার প্রতিটি স্টলের সামনে গিয়ে উৎসাহ দিচ্ছেন, দেখছেন সব কিছু ঠিকঠাক আছে কিনা। biología-র দিদিমনি মধুরিমা ম্যাম মাইক্রোস্কোপের নিচে কী যেন দেখছেন, হয়তো কোনো জটিল জীবাণুর গঠন বিশ্লেষণ করছেন তিনি। ছোট ছোট ছেলেমেয়েরা নিজেদের অ্যাকটিভিটি নিয়ে বেশ সিরিয়াস, তাদের চোখেমুখে উত্তেজনা স্পষ্ট। কেউ সৌরজগতের মডেল বানিয়েছে, কেউ আবার বৃষ্টির জল সংরক্ষণের পদ্ধতি দেখাচ্ছে। আমার বন্ধু রিয়া একটি রোবট বানিয়েছে, যা মানুষের কথা বুঝতে পারে এবং সেই অনুযায়ী কাজ করতে সক্ষম। এই ধরনের অ্যাকটিভিটি শিক্ষার্থীদের মধ্যে বিজ্ঞান বিষয়ে আগ্রহ তৈরি করে, তাদের উদ্ভাবনী ক্ষমতাকে জাগ্রত করে। শুধু পড়লেই তো হয় না, হাতে কলমে কিছু করে দেখাটাও জরুরি, আর এই মেলা সেই সুযোগটাই করে দিয়েছে। বিকেলে প্রধান অতিথি এসে মেলার উদ্বোধন করবেন, তারপর শুরু হবে আসল মজা। আমি মনে করি, পড়াশোনার পাশাপাশি এই ধরনের অ্যাকটিভিটি একজন শিক্ষার্থীর মানসিক বিকাশে গুরুত্বপূর্ণ ভূমিকা রাখে।
"
অনাথা,"অনাথা মায়েরা সবসময় সমাজের চোখে করুণার পাত্রী। কমলাও ব্যতিক্রম নয়। রেলস্টেশনের প্ল্যাটফর্মে কমলাকে প্রথম দেখেছিলাম। বছর দশেক আগে, যখন ও নেহাতই শিশু। ওর চোখেমুখে ছিল ভয় আর অনিশ্চয়তা। কমলা অনাথা, বাবা-মায়ের পরিচয় জানে না। স্টেশনের ধারে বস্তিতেই ওর ঠাঁই। কমলা দেখতো, আর পাঁচটা ছেলেমেয়েদের বাবা-মায়েরা আদর করছে, স্কুলে নিয়ে যাচ্ছে। ওর খুব ইচ্ছে করত, যদি ওরও কেউ থাকত। কমলা রেলস্টেশনে ফুল বিক্রি করত, যা রোজগার হত, তা দিয়ে কোনোমতে পেট চলত। রাতের বেলা স্টেশনের এক কোণে জড়োসড়ো হয়ে ঘুমাতো। শীতের রাতে ঠান্ডায় কাঁপত, তবুও ওর কষ্ট কেউ বুঝতো না। কমলা এখন বড় হয়েছে, ফুল বিক্রি করেই এখন সংসার চালায়। তবে ওর মনে একটা চাপা কষ্ট সবসময় থাকে - ""আমার কেউ নেই""। কমলা চায়, আর কোনো শিশুকে যেন ওর মতো অনাথা হতে না হয়। 
"
